"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MRTFB",-0.837971433014727,9.46452241489508,-8.15814758808437,4.14788355714871e-14,4.27056434595538e-12,21.5691466710837
"SLC5A3",1.19197811910308,8.45419985053236,8.15456888195676,4.24041989050441e-14,4.34285950785923e-12,21.5476786339959
"NDE1",0.688483229052372,8.34870714321108,8.15028467670608,4.35389196838918e-14,4.43572690119817e-12,21.521984392564
"NCALD",-0.75184762966934,11.1063065222771,-8.12662154856791,5.03701575596527e-14,5.0007800813943e-12,21.3801837017427
"GSDMD",0.648622876207139,7.68354091423907,8.12340045391452,5.13786500710313e-14,5.07501092249847e-12,21.3608967858725
"ATP6V1G2",-0.973066564591647,11.1942449843879,-8.11555507234808,5.39194272412735e-14,5.28117624827503e-12,21.3139365721524
"AHNAK",0.806790676974814,10.339421061488,8.11526195023848,5.40167311734268e-14,5.28117624827503e-12,21.3121824531708
"KRT222",-0.611004822051511,7.94762743095235,-8.10855678843123,5.62906767372459e-14,5.42257563678251e-12,21.2720654155027
"BRWD1",-0.826166865165974,10.3332733314772,-8.10471767316127,5.7635077774274e-14,5.52473388379112e-12,21.2491032069332
"NPTX2",-1.08071523915833,9.24013512063231,-8.09474678283321,6.12771422624101e-14,5.72555486995986e-12,21.1894908198059
"MUC1",0.767532729565586,7.7683743661893,8.07732214830093,6.81972444912898e-14,6.17658500116424e-12,21.0854010312529
"SPACA6",0.585118113950875,8.90299737386682,8.06261141411484,7.46381861146111e-14,6.69301596130976e-12,20.9976086553629
"RTN4",-0.749579445744835,12.3113597521857,-8.04408607280728,8.36124270007704e-14,7.29602787895961e-12,20.8871626832128
"SLC15A3",0.586389953780194,8.20241389696685,8.03528717769515,8.82414217618172e-14,7.55482339971698e-12,20.8347484271402
"ZBTB20",0.691315482980307,9.50264012967997,8.03020760934455,9.10283508641695e-14,7.70139425854728e-12,20.8045027433392
"FOXC1",0.766839566886353,9.03643596284784,8.01419414434581,1.00397394443201e-13,8.27810550199261e-12,20.7092142740296
"KCNK12",0.64555914797168,10.4064421090131,8.00781512711644,1.04390135957652e-13,8.5349901495796e-12,20.6712819895342
"SVOP",-0.836530842378882,8.48820538981655,-7.99794480441804,1.10880113204652e-13,9.02768252238211e-12,20.6126184470752
"MOB3C",0.624979732423191,8.11738599280873,7.99282059846971,1.14405363813402e-13,9.2374023835892e-12,20.5821772581118
"WASF1",-0.765106127858625,7.32050439859924,-7.98279650290939,1.21625543194075e-13,9.66004671434085e-12,20.5226555022771
"DNM3",-0.741710230263434,10.1867064906057,-7.97684765636533,1.26121852994888e-13,9.88971335339899e-12,20.4873496110164
"NDRG4",-0.587072333796109,8.16607439109439,-7.97320215623866,1.28958157674765e-13,1.0037587160773e-11,20.465720361727
"SC5D",-0.81975893902968,8.94349621922446,-7.96294219061303,1.37284176005367e-13,1.06430788083205e-11,20.4048730619216
"FAAP20",0.663235835307665,8.4074149550887,7.95201423263586,1.46738053462054e-13,1.12441656152919e-11,20.3401072534124
"GLO1",-0.604167000025158,9.19169145154212,-7.95038132125414,1.48204991403202e-13,1.12653161238863e-11,20.3304334365484
"PGAM4",-0.716341558175444,9.25346436439993,-7.94611229244313,1.52109059441067e-13,1.14423011874752e-11,20.3051472349086
"UBE2N",-0.726848409788926,10.1623697633971,-7.94590904815737,1.52297446300225e-13,1.14423011874752e-11,20.3039435532686
"CHN1",-0.80825634444829,12.5714254614058,-7.94143977033556,1.56498901048417e-13,1.16678625114987e-11,20.277478874503
"FBXW7",-0.692244821819619,10.9829846990407,-7.93794485336055,1.59864159989526e-13,1.18281242936737e-11,20.2567890444061
"KIFAP3",-0.625110799807446,10.3232821971097,-7.92191744313589,1.76237803931565e-13,1.27015238026086e-11,20.1619657487265
"ACACB",0.847199125392107,9.01006495027035,7.91152791804373,1.87727726826226e-13,1.33320942931078e-11,20.1005495317242
"RGS7",-1.0793840991548,9.03888196829189,-7.90594256834374,1.94207987861651e-13,1.37421572210905e-11,20.067549323692
"DFFA",0.838883561910573,8.37282014275792,7.90115077737645,1.9994368414187e-13,1.409675416564e-11,20.0392471191852
"YWHAG",-1.02134017978896,9.71683385456304,-7.89510985194843,2.07414053079788e-13,1.45706500320563e-11,20.0035793956657
"SCN2B",-0.897433951611875,9.02346312011319,-7.87790441843685,2.30238581064405e-13,1.57200440313412e-11,19.9020682631204
"HERC1",-0.652573945476939,9.12405738187168,-7.86832299862439,2.44009248618511e-13,1.65441671389115e-11,19.8455871290163
"ITPRIPL2",0.799936310413548,8.95326709332751,7.86522295208808,2.48636914128274e-13,1.67412654395228e-11,19.8273202692787
"SCRIB",0.646431550794012,9.46906581411669,7.856837609366,2.61594109635972e-13,1.74926452900563e-11,19.7779284447554
"SIPA1",0.68985762273597,8.0197995153628,7.8405815674512,2.88646199307487e-13,1.91698511683426e-11,19.6822527290212
"CNNM3",0.741149895108329,8.46322600933855,7.82186207663954,3.23241047262219e-13,2.09133613857886e-11,19.5722038376066
"CD151",0.600230782955059,10.3212754721029,7.82118243909905,3.24571413665047e-13,2.09133613857886e-11,19.5682108933861
"SCOC",-0.635773629330668,9.93734973083795,-7.81084378225176,3.45490000166699e-13,2.20422620106354e-11,19.5074921301761
"BCL6",0.604954904174793,10.4447027888957,7.80079013707593,3.67109797190281e-13,2.30438372371796e-11,19.4484868387165
"RASL12",0.712616381683084,7.915535391204,7.79825367526287,3.72772521985069e-13,2.32492964913701e-11,19.43360641171
"ATP6V1D",-0.589091246685839,10.7232680504736,-7.78872611473064,3.94825807967127e-13,2.41601113120513e-11,19.3777342349659
"CRYM",-1.00394663167147,8.09595473243339,-7.77854998391747,4.19807049981148e-13,2.56061257972283e-11,19.3180976146451
"BEX1",-0.872146104850536,12.162267599488,-7.77323073560228,4.33481202148175e-13,2.62776034660478e-11,19.286940513647
"POTEKP",-0.844497791475784,8.83581391461516,-7.7647025993155,4.56329621087965e-13,2.74913872964418e-11,19.2370106212889
"STAT4",-0.932327431568804,7.88997809452263,-7.75775601273827,4.75818102135775e-13,2.84246680945363e-11,19.1963612678071
"LIME1",0.581619447663269,8.79332837567978,7.75745738454968,4.76674107530202e-13,2.84246680945363e-11,19.1946142079133
"ST6GALNAC5",-0.911301394217128,7.87930076658459,-7.74937963033455,5.00415564209783e-13,2.96877636096285e-11,19.1473702988691
"TP53I13",0.607858166986878,8.69253000475634,7.73944384398649,5.31227509844519e-13,3.11360123917605e-11,19.0892945277869
"CCDC184",-0.691086103166606,8.58574435668212,-7.7387729736486,5.33374319843534e-13,3.11679606301361e-11,19.0853746142648
"NME1",-0.632521642115627,10.1266550758652,-7.71934016993096,5.99425799426613e-13,3.45095462456877e-11,18.9719051516547
"SYNJ2BP",0.711666485592504,9.65308319327265,7.70970771715889,6.35103385073108e-13,3.60305445193516e-11,18.915715872905
"GFAP",1.04503030544805,11.8782328929118,7.70353902129527,6.59046668763398e-13,3.70647084608872e-11,18.8797511292895
"FAM234B",-0.627898658568071,7.82297885144801,-7.70090409757755,6.69544052986439e-13,3.7546564054937e-11,18.8643935907184
"MAP4K4",0.606428168981165,10.102614617179,7.6969447213363,6.85629714541388e-13,3.83381282047726e-11,18.8413217201225
"LRP5",0.620496859061968,7.69673951798786,7.68549899507876,7.34311057548988e-13,4.04120504848241e-11,18.7746608282231
"BEX2",-0.801246314301514,10.7727049475905,-7.6834860011558,7.43219499696761e-13,4.05106673518187e-11,18.7629423714855
"PPFIBP2",0.585146309988146,8.55149632969544,7.67440609988804,7.84749203679186e-13,4.19200415305632e-11,18.7101046563912
"RGS4",-1.41772680039927,10.3317376573621,-7.6385436598749,9.72431954228412e-13,4.99275815232999e-11,18.5017367439852
"LLGL1",0.674081382200238,8.55995115309191,7.62759086620774,1.0381440269228e-12,5.25412876844357e-11,18.4382019324895
"BGN",0.666270276441516,10.7915371472517,7.62736580779923,1.03953932671297e-12,5.25412876844357e-11,18.4368969245709
"KCNV1",-0.583858336523458,7.10034539438995,-7.61847463990916,1.09617113171963e-12,5.45534374734843e-11,18.3853576066817
"SLC39A10",-0.818916215001581,8.74662323946392,-7.61705774898742,1.10547348256469e-12,5.4822764979247e-11,18.3771472884161
"TBC1D9",-0.746174357501251,8.70978158286793,-7.60707458305365,1.17326586781652e-12,5.72195000547411e-11,18.3193218836167
"C2orf80",-0.854442533024706,9.36242233823502,-7.60360815647977,1.19775380986595e-12,5.81224224094304e-11,18.29925279053
"PPP3CA",-0.76510534006181,8.14343787831224,-7.5992058619239,1.22958259916295e-12,5.95185268584873e-11,18.2737724696367
"GABARAPL1",-0.700286654300055,10.4350234250174,-7.58083247412594,1.37170006622748e-12,6.47563167014912e-11,18.1675131717244
"FGR",0.654681816293879,7.90329233159085,7.58009600302643,1.37772316739901e-12,6.47563167014912e-11,18.1632567899159
"SLC6A12",0.83287089230874,8.6668989909654,7.57643320402459,1.40806932227367e-12,6.57065250410631e-11,18.1420911991979
"STXBP1",-1.26407758702471,9.04790952581144,-7.57444233716495,1.42483981337544e-12,6.63300428910831e-11,18.1305892184291
"BEX5",-0.856072417137164,8.18394313948088,-7.57308826736578,1.43635878095661e-12,6.66813957102858e-11,18.1227671784914
"GDF11",0.754522593064516,9.45870781366956,7.56988538232513,1.46397319240295e-12,6.7505815997557e-11,18.1042680955523
"NIBAN2",0.678686570032045,9.38078170097549,7.55471568348476,1.60205898930063e-12,7.28375370859835e-11,18.0167087501053
"RN7SK",0.648299594514171,9.62842240697633,7.54804542661555,1.66678011328291e-12,7.50784125564169e-11,17.9782380199908
"NRXN1",-0.686288548678023,8.55500664387414,-7.54445404394302,1.70269063518613e-12,7.64485917423381e-11,17.9575322930524
"ZNF786",0.741514983142682,10.1957839438828,7.54030399998361,1.74514054387805e-12,7.78869033103739e-11,17.9336122852212
"PTPRN",-0.786779406615981,7.73707414904105,-7.52419157688779,1.92009774160947e-12,8.43412685191391e-11,17.8408109618042
"CACNG3",-0.687474310709612,9.68942797419683,-7.51719312081727,2.00138927844167e-12,8.73207039668081e-11,17.8005360252172
"TMC6",0.614451926564761,7.58588061309339,7.50718138445572,2.12362783792456e-12,9.14667210387687e-11,17.7429554938289
"CENPB",0.663826810728904,10.1404611283099,7.47937429793174,2.50319974618248e-12,1.03637795448861e-10,17.5832474199085
"CCDC125",0.634797345116864,11.3765266511761,7.47807704537836,2.52245764404421e-12,1.04213382792901e-10,17.5758046233035
"ZCCHC24",0.738095656526751,9.68559824451579,7.47580565005395,2.55653006587577e-12,1.05397285067535e-10,17.562774521846
"YWHAB",-0.620400732492409,12.0965504752531,-7.47533708545086,2.56361522593828e-12,1.05465938015926e-10,17.5600868198569
"CHGB",-1.33082483050319,8.94365519843311,-7.46299058810181,2.75746040976452e-12,1.1272567670926e-10,17.4893000724332
"CBLN4",-0.850009864628129,7.62466335104129,-7.45077682421049,2.96345621629741e-12,1.19391085948098e-10,17.4193373381606
"NDFIP1",-0.629049877088075,9.56509529327456,-7.43266537114493,3.29721346771126e-12,1.29192537903657e-10,17.3157072772408
"FGF12",-0.792406065134819,9.42263394601206,-7.43253780742409,3.29969121425137e-12,1.29192537903657e-10,17.3149778749793
"NSG2",-0.65380745494163,9.51191676999871,-7.43060795210503,3.337401160727e-12,1.30406604792343e-10,17.3039439096324
"INPPL1",0.679267991603177,8.69007711242861,7.42969663963395,3.35535617540059e-12,1.30845442519279e-10,17.2987340202074
"FKBP1A",-0.641797727442504,9.6744572000623,-7.42921421632375,3.36489965691395e-12,1.30955164847777e-10,17.2959761929183
"PDP1",-0.74350437865941,7.88075256785294,-7.42685955737844,3.41186668482131e-12,1.32517991656563e-10,17.2825169338223
"YWHAZ",-0.767106623874701,11.4734569113344,-7.41300693195952,3.7015826850002e-12,1.41789561943738e-10,17.2033827576965
"PLOD1",0.601514647694398,9.78945515339424,7.41013683686845,3.76458063455093e-12,1.43370256009236e-10,17.1869973118107
"STMN2",-0.902950606795736,11.3204189345001,-7.40926750507969,3.78387043488664e-12,1.43809247641522e-10,17.1820349656723
"VAMP2",-0.982181643398247,9.784091291444,-7.40255255586018,3.93619699492183e-12,1.48727101600357e-10,17.1437153250973
"CAMK1G",-0.584340794072665,7.69315869844625,-7.39720033421249,4.06193556912291e-12,1.5229519121303e-10,17.1131860048984
"FAM107B",0.812020895309592,9.3380160231022,7.38757600423844,4.29809898503688e-12,1.59917223995856e-10,17.0583191335089
"TOMM20",-0.637158282109187,11.540435698642,-7.38208079489808,4.43897185188511e-12,1.64216641189795e-10,17.0270095181882
"MYOT",0.651846860985071,7.87444247700586,7.37820892623522,4.54095869063608e-12,1.66721726719033e-10,17.0049568428702
"MXD4",0.600937888452229,10.8549837557296,7.35876666505656,5.08912552702002e-12,1.84069319015395e-10,16.8943184165526
"HPRT1",-1.05699319311668,9.95293545316511,-7.3502845723863,5.34828996458567e-12,1.91309511803074e-10,16.8461010162521
"ACTR10",-0.604469199481645,8.82117137994354,-7.33866738491107,5.72451210374911e-12,2.02184676766017e-10,16.7801121753526
"RBM14",0.79083075300495,9.27510407986452,7.32969443326699,6.03288456004171e-12,2.11520541718652e-10,16.7291832580127
"KIFBP",-0.71825254994747,8.81765379028584,-7.32189519169271,6.31420784367151e-12,2.19799947101975e-10,16.6849444496736
"NMNAT2",-0.811017432913307,9.30772872241667,-7.32109383522316,6.34383699922587e-12,2.20437007442743e-10,16.680400495493
"RAX2",0.760831377224793,10.4692284194705,7.30056673597513,7.15140353579469e-12,2.44998523596882e-10,16.5641002764638
"ERICH3",-1.01922263165058,8.44170360512387,-7.29554994350994,7.36372750082088e-12,2.51738417912895e-10,16.5357045888006
"KLF2",0.708296864602182,10.418357538706,7.29422605622586,7.42078828280921e-12,2.52460872875902e-10,16.5282130494178
"ATP6AP2",-0.717067500636798,11.0179715546498,-7.29421833567084,7.4211223230904e-12,2.52460872875902e-10,16.5281693630173
"PARM1",-1.07070367769625,9.42972865275377,-7.28606100897872,7.78248455603801e-12,2.61102356855075e-10,16.4820260651753
"SGIP1",-0.590882402550052,8.98179867185859,-7.26876228442615,8.60727191161407e-12,2.83399160961249e-10,16.3842693182587
"ACSS1",0.645348286701449,8.88876807690738,7.26765391714545,8.6629657747322e-12,2.84751099679922e-10,16.3780103046075
"SYTL4",0.715330042997181,8.22613066806348,7.24393607253458,9.94377608588101e-12,3.19300229133925e-10,16.2442038660678
"CREG2",-0.919478818458052,8.3647388178823,-7.22669020955995,1.09907833340597e-11,3.47596756633244e-10,16.1470656913062
"SST",-0.812592213877603,7.19743653296685,-7.22041135174754,1.13983997874608e-11,3.56021607486676e-10,16.1117324424482
"ITGB5",0.642506231896311,9.57076738050593,7.20109142464678,1.27485343096315e-11,3.93143786261679e-10,16.0031226361997
"GLRB",-1.0106985841923,8.6300403961921,-7.19775877654867,1.299688632495e-11,3.98906011036597e-10,15.9844044830132
"DCLK1",-0.993585203730608,9.5393977885703,-7.19579707009432,1.31453007325481e-11,4.02192463765178e-10,15.9733886793433
"ANLN",0.678510673323017,8.92835906693441,7.19527826227011,1.31848304086591e-11,4.02768626251331e-10,15.9704756433702
"DDIT4L",0.714792004279817,8.82614858458142,7.19432101207004,1.32580746202288e-11,4.03107615679739e-10,15.9651011281366
"LINC01205",0.665455703381844,9.90111753769279,7.18451208493449,1.40321344982811e-11,4.22680039012466e-10,15.9100521631837
"RAB13",0.696577266715811,7.55121206754351,7.17887736536966,1.44967861319371e-11,4.33677019689905e-10,15.8784488644393
"DYNC1I1",-1.09563575139676,9.43247827360463,-7.16962082458555,1.52932734392104e-11,4.50896678566054e-10,15.8265628601616
"INTS13",0.644243474025976,7.91229029627354,7.16840399043396,1.54011377903657e-11,4.53389924754501e-10,15.8197449589113
"PDCD4",0.607136835518886,10.7804509607618,7.16652905424545,1.55688097880432e-11,4.57633639978147e-10,15.8092410254844
"TM2D3",-0.630673573858661,10.1370730754958,-7.16117506196223,1.60575869146891e-11,4.7128896496672e-10,15.7792551175886
"UBXN2A",0.663265038506661,8.78144212116213,7.15667292317232,1.64802926434555e-11,4.81516538361863e-10,15.7540501391595
"ZNF25",-0.611934227240376,9.62148406651285,-7.1524899191846,1.68828654845198e-11,4.9033384994518e-10,15.7306400029642
"ATP6V1B2",-0.672830271136074,11.8259775527229,-7.15223069406324,1.6908130189428e-11,4.90335775493411e-10,15.7291895119598
"NHSL1-AS1",0.642687049638252,7.89049019733031,7.13777414377233,1.83777513668686e-11,5.24358744645008e-10,15.6483460805161
"TNS3",0.606018541095076,10.9713699095978,7.13632613279136,1.85317201873635e-11,5.27205764803956e-10,15.6402537670379
"CYP26B1",-0.771790054234941,8.59261973178117,-7.12844511996477,1.93923005432558e-11,5.48480779463974e-10,15.5962268047586
"DENR",0.669288914657083,10.9614083161613,7.12641060912625,1.96207914646611e-11,5.5413785357161e-10,15.5848656623256
"GOT1",-0.789846860999476,10.9809742550563,-7.12265330186326,2.0049768991326e-11,5.63798345089902e-10,15.5638889929331
"ITPR3",0.590770911693803,8.33218974470025,7.11394695627999,2.10796689213012e-11,5.88506854432713e-10,15.5153069771576
"DDIT4",0.770563961114074,9.78899369593974,7.10330220586888,2.24099931406414e-11,6.2030733502666e-10,15.4559553766192
"GABRA1",-1.10180169391805,8.53863382686465,-7.10117371135197,2.26857707136476e-11,6.2615945009485e-10,15.4440937899245
"PARP10",0.63110679006509,7.81795272688706,7.09417800071346,2.36159626391396e-11,6.46333357236311e-10,15.4051229430377
"FOXO4",0.646203022501748,10.6138406969933,7.08756294862375,2.45301042530905e-11,6.63882195634058e-10,15.3682931858013
"VDAC1",-0.648647467977922,10.8093191396168,-7.0771309032184,2.60431181898937e-11,6.91368399532253e-10,15.3102527444583
"PTH1R",0.877514197152918,9.06138317588588,7.05666903029319,2.92830459774551e-11,7.60889851826842e-10,15.1965547013307
"SNX10",-0.866488903579517,8.38680366171168,-7.04940049835165,3.05271070325178e-11,7.86790696352006e-10,15.1562128916261
"RORA",0.837492817377091,8.14655259558313,7.0382199552047,3.25431790095394e-11,8.33233842561353e-10,15.0942062271402
"EML3",0.694027704817176,9.17709915879289,7.02651785126401,3.47939400233965e-11,8.85039580281401e-10,15.0293689341781
"GPM6A",-0.690919761216578,10.858876926292,-7.01739125692724,3.66552606059426e-11,9.26330800170178e-10,14.9788457040302
"PAK1",-0.911675591763396,9.01025248118638,-7.01323272992406,3.75356060777796e-11,9.41288860586494e-10,14.955837653688
"MLKL",0.598277974045351,7.81661760956264,7.01172878497943,3.78590921230818e-11,9.48133942886806e-10,14.9475186962325
"RCAN2",-0.725979039310743,10.8901256816624,-7.01058355204781,3.81072643254777e-11,9.53122437672842e-10,14.9411846326479
"SFMBT2",0.812008498333669,7.79760188084703,7.00970178200822,3.8299436401169e-11,9.54249337938985e-10,14.9363081475316
"TMEM106A",0.708993764671004,9.17043100708253,7.00904112589818,3.84440449941988e-11,9.56627457214979e-10,14.9326547339574
"LRRC32",0.653976205507241,8.45935232211103,7.00403276814973,3.95579569267472e-11,9.80583801066973e-10,14.9049652361572
"PIGX",0.625426837333557,8.60916216910802,7.00210404549196,3.99953606943886e-11,9.87651933695568e-10,14.8943051041007
"PNKD",-0.625527013067754,8.28670750081481,-7.00108726878779,4.02278656007697e-11,9.90878527500478e-10,14.8886860339887
"RTN1",-1.1449346022252,11.9053884975566,-7.0003205009859,4.04040822530953e-11,9.92705854246188e-10,14.8844489208687
"FZD9",0.666770096309504,8.65948890367581,6.96095783570751,5.05494930176204e-11,1.20406287225846e-09,14.667302481554
"STAMBPL1",-0.663381496963817,8.83269234569974,-6.95854679430239,5.12467189317084e-11,1.21759451000258e-09,14.6540254506263
"MOAP1",-0.724645357600977,10.2812384671423,-6.95829913520882,5.13188717220949e-11,1.21782185956127e-09,14.6526618058507
"SYP",-0.953943536874991,9.59427463699335,-6.93736525480018,5.77938491334807e-11,1.3452278831201e-09,14.5375014804074
"OPA1",-0.601535060114369,8.42213883228795,-6.93155321562769,5.97301211907837e-11,1.38203142479365e-09,14.5055653044312
"ARHGAP32",-0.647703658520724,10.3100186986335,-6.93075131009067,6.00022455694778e-11,1.38535479854192e-09,14.501160223201
"ATP2A2",-0.715625111459037,11.5435435555426,-6.92231501134102,6.29401684452937e-11,1.44941152399641e-09,14.4548358369786
"SCG2",-0.95493313486548,9.84489501545912,-6.91865989911929,6.42566533694273e-11,1.47449318150435e-09,14.4347758007582
"LRRC8B",-0.655243185656966,9.1483514602221,-6.91794473695919,6.45173941193541e-11,1.47873259383806e-09,14.4308515796122
"GAD1",-0.994532208893726,9.93320793190533,-6.91068369549937,6.72244423645275e-11,1.52817806538708e-09,14.3910227131553
