,symbol,correlation,pvalue
308,MDH2,0.142857143,0.802777778
309,LEAP2,0.771428571,0.102777778
310,BCL6,0.828571429,0.058333333
311,DNAJC27,0.142857143,0.802777778
312,RASL12,0.828571429,0.058333333
313,PDE5A,0.771428571,0.102777778
314,CRBN,0.142857143,0.802777778
315,PCYOX1L,0.142857143,0.802777778
316,ATP5MJ,0.142857143,0.802777778
317,MTMR10,0.828571429,0.058333333
318,ATP6V1D,0.142857143,0.802777778
319,CRYM,0.142857143,0.802777778
320,ZNF621,0.828571429,0.058333333
321,BEX1,0.142857143,0.802777778
322,MYO9B,0.771428571,0.102777778
323,POTEKP,0.142857143,0.802777778
324,QPCT,0.142857143,0.802777778
325,STAT4,0.142857143,0.802777778
326,LIME1,0.828571429,0.058333333
327,AIG1,0.142857143,0.802777778
328,ST6GALNAC5,0.142857143,0.802777778
329,GCN1,0.828571429,0.058333333
330,VMP1,0.142857143,0.802777778
331,TP53INP1,0.771428571,0.102777778
332,TP53I13,0.828571429,0.058333333
333,CCDC184,0.142857143,0.802777778
334,FANCE,0.771428571,0.102777778
335,WASHC1,0.828571429,0.058333333
336,SARAF,0.142857143,0.802777778
337,DDX51,0.828571429,0.058333333
338,NME1,0.142857143,0.802777778
339,PIEZO2,0.771428571,0.102777778
340,SYDE1,0.771428571,0.102777778
341,RNF187,0.142857143,0.802777778
342,DUSP28,0.142857143,0.802777778
343,SYNJ2BP,0.828571429,0.058333333
344,FOXP1-IT1,0.771428571,0.102777778
345,PPDPF,0.142857143,0.802777778
346,GFAP,0.828571429,0.058333333
347,FAM234B,0.142857143,0.802777778
348,MAP4K4,0.828571429,0.058333333
349,FAM174A,0.142857143,0.802777778
350,SPART,0.771428571,0.102777778
351,EFEMP2,0.828571429,0.058333333
352,CALML4,0.771428571,0.102777778
353,LRP5,0.828571429,0.058333333
354,TOP1MT,0.771428571,0.102777778
355,FANCB,0.771428571,0.102777778
356,PLEKHA4,0.771428571,0.102777778
357,BEX2,0.142857143,0.802777778
358,SNORD99,0.771428571,0.102777778
359,FOXJ1,0.771428571,0.102777778
360,ZDHHC8,0.828571429,0.058333333
361,TMEM163,0.142857143,0.802777778
362,MBOAT2,0.828571429,0.058333333
363,MLIP,0.142857143,0.802777778
364,PPFIBP2,0.828571429,0.058333333
365,NAT9,0.828571429,0.058333333
366,COX6B1,0.142857143,0.802777778
367,ARHGAP17,0.828571429,0.058333333
368,CDK2AP1,0.828571429,0.058333333
369,TOP3B,0.771428571,0.102777778
370,B3GALNT1,0.142857143,0.802777778
371,NPTXR,0.142857143,0.802777778
372,UBQLN2,0.142857143,0.802777778
373,CALHM2,0.771428571,0.102777778
374,HDDC3,0.142857143,0.802777778
375,FBXL7,0.771428571,0.102777778
376,ELK1,0.828571429,0.058333333
377,GPN1,0.142857143,0.802777778
378,CTXN2,0.142857143,0.802777778
379,RGS4,0.142857143,0.802777778
380,RASAL3,0.771428571,0.102777778
381,GGA2,0.828571429,0.058333333
382,SRD5A3,0.142857143,0.802777778
383,UNC93B1,0.828571429,0.058333333
384,LLGL1,0.828571429,0.058333333
385,BGN,0.828571429,0.058333333
386,BMP1,0.771428571,0.102777778
387,LSM14A,0.828571429,0.058333333
388,PPP6R3,0.828571429,0.058333333
389,RRAGA,0.142857143,0.802777778
390,GLIS3,0.828571429,0.058333333
391,KCNV1,0.142857143,0.802777778
392,SLC39A10,0.142857143,0.802777778
393,BAZ1A,0.828571429,0.058333333
394,ZNF652,0.828571429,0.058333333
395,TIMM23,0.142857143,0.802777778
396,DSTN,0.142857143,0.802777778
397,DNAJC5G,0.142857143,0.802777778
398,EFR3B,0.142857143,0.802777778
399,TBC1D9,0.142857143,0.802777778
400,HS6ST2,0.142857143,0.802777778
401,C2orf80,0.142857143,0.802777778
402,PPP3CA,0.142857143,0.802777778
403,LOC390705,0.771428571,0.102777778
404,TOMM70,0.142857143,0.802777778
405,CITED1,0.142857143,0.802777778
406,DCAF1,0.771428571,0.102777778
407,WDR6,0.828571429,0.058333333
408,MSC,0.142857143,0.802777778
409,GMPR,0.771428571,0.102777778
410,PARD3,0.771428571,0.102777778
411,NASP,0.828571429,0.058333333
412,GABARAPL1,0.142857143,0.802777778
413,PRR14,0.828571429,0.058333333
414,FGR,0.828571429,0.058333333
415,TGFB1I1,0.771428571,0.102777778
416,LCAT,0.771428571,0.102777778
417,SLC6A12,0.828571429,0.058333333
418,STXBP1,0.142857143,0.802777778
419,BEX5,0.142857143,0.802777778
420,UBE2V2,0.142857143,0.802777778
421,KCNC2,0.142857143,0.802777778
422,GDF11,0.828571429,0.058333333
423,KCNJ10,0.828571429,0.058333333
424,SUN2,0.828571429,0.058333333
425,CACNB2,0.142857143,0.802777778
426,ACAN,0.771428571,0.102777778
427,TBC1D2B,0.828571429,0.058333333
428,NIBAN2,0.828571429,0.058333333
429,PRKAR1B,0.142857143,0.802777778
430,SNORA11,0.771428571,0.102777778
431,FLT3LG,0.771428571,0.102777778
432,RN7SK,0.828571429,0.058333333
433,NRXN1,0.142857143,0.802777778
434,ISCU,0.142857143,0.802777778
435,ZNF322,0.828571429,0.058333333
436,ZNF786,0.828571429,0.058333333
437,LRRC14,0.828571429,0.058333333
438,WBP11,0.142857143,0.802777778
439,GUCD1,0.828571429,0.058333333
440,OLFM1,0.142857143,0.802777778
441,PRPS1,0.142857143,0.802777778
442,DENND5A,0.828571429,0.058333333
443,PTPRN,0.142857143,0.802777778
444,TAL1,0.771428571,0.102777778
445,KPNA1,0.142857143,0.802777778
446,CACNG3,0.142857143,0.802777778
447,MCL1,0.828571429,0.058333333
448,MAP4K5,0.828571429,0.058333333
449,TXLNA,0.828571429,0.058333333
450,SPAG9,0.828571429,0.058333333
451,TMC6,0.828571429,0.058333333
452,YJU2,0.828571429,0.058333333
453,VEZF1,0.828571429,0.058333333
454,CYP26A1,0.142857143,0.802777778
455,USP11,0.142857143,0.802777778
456,TRAK2,0.828571429,0.058333333
457,BEND7,0.771428571,0.102777778
458,TFPI,0.771428571,0.102777778
459,PTPRN2,0.142857143,0.802777778
460,TCL1B,0.771428571,0.102777778
461,ARHGEF11,0.142857143,0.802777778
462,CDIP1,0.771428571,0.102777778
463,ARSG,0.142857143,0.802777778
464,ARF3,0.142857143,0.802777778
465,CNPY4,0.828571429,0.058333333
466,NREP,0.142857143,0.802777778
467,GCK,0.771428571,0.102777778
468,COLGALT1,0.828571429,0.058333333
469,CADM4,0.828571429,0.058333333
470,CENPB,0.828571429,0.058333333
471,CCDC125,0.828571429,0.058333333
472,ZCCHC24,0.828571429,0.058333333
473,YWHAB,0.142857143,0.802777778
474,PGAM1,0.142857143,0.802777778
475,CCDC93,0.828571429,0.058333333
476,CHGB,0.142857143,0.802777778
477,POLA1,0.828571429,0.058333333
478,INTS9,0.828571429,0.058333333
479,U2AF2,0.828571429,0.058333333
480,ZBTB14,0.828571429,0.058333333
481,PSD4,0.771428571,0.102777778
482,ZNF598,0.828571429,0.058333333
483,CBLN4,0.142857143,0.802777778
484,PYROXD2,0.771428571,0.102777778
485,CCDC85C,0.828571429,0.058333333
486,CAPRIN1,0.142857143,0.802777778
487,NEK7,0.828571429,0.058333333
488,SLC6A9,0.771428571,0.102777778
489,SLC25A35,0.771428571,0.102777778
490,CSNK1G2,0.828571429,0.058333333
