,symbol,correlation,pvalue
358,SNORD99,0.942857143,0.016666667
359,FOXJ1,0.942857143,0.016666667
360,ZDHHC8,1,0.002777778
361,TMEM163,0.485714286,0.355555556
362,MBOAT2,1,0.002777778
363,MLIP,0.485714286,0.355555556
364,PPFIBP2,1,0.002777778
365,NAT9,1,0.002777778
366,COX6B1,0.485714286,0.355555556
367,ARHGAP17,1,0.002777778
368,CDK2AP1,1,0.002777778
369,TOP3B,0.942857143,0.016666667
370,B3GALNT1,0.485714286,0.355555556
371,NPTXR,0.485714286,0.355555556
372,UBQLN2,0.485714286,0.355555556
373,CALHM2,0.942857143,0.016666667
374,HDDC3,0.485714286,0.355555556
375,FBXL7,0.942857143,0.016666667
376,ELK1,1,0.002777778
377,GPN1,0.485714286,0.355555556
378,CTXN2,0.485714286,0.355555556
379,RGS4,0.485714286,0.355555556
380,RASAL3,0.942857143,0.016666667
381,GGA2,1,0.002777778
382,SRD5A3,0.485714286,0.355555556
383,UNC93B1,1,0.002777778
384,LLGL1,1,0.002777778
385,BGN,1,0.002777778
386,BMP1,0.942857143,0.016666667
387,LSM14A,1,0.002777778
388,PPP6R3,1,0.002777778
389,RRAGA,0.485714286,0.355555556
390,GLIS3,1,0.002777778
391,KCNV1,0.485714286,0.355555556
392,SLC39A10,0.485714286,0.355555556
393,BAZ1A,1,0.002777778
394,ZNF652,1,0.002777778
395,TIMM23,0.485714286,0.355555556
396,DSTN,0.485714286,0.355555556
397,DNAJC5G,0.485714286,0.355555556
398,EFR3B,0.485714286,0.355555556
399,TBC1D9,0.485714286,0.355555556
400,HS6ST2,0.485714286,0.355555556
401,C2orf80,0.485714286,0.355555556
402,PPP3CA,0.485714286,0.355555556
403,LOC390705,0.942857143,0.016666667
404,TOMM70,0.485714286,0.355555556
405,CITED1,0.485714286,0.355555556
406,DCAF1,0.942857143,0.016666667
407,WDR6,1,0.002777778
408,MSC,0.485714286,0.355555556
409,GMPR,0.942857143,0.016666667
410,PARD3,0.942857143,0.016666667
411,NASP,1,0.002777778
412,GABARAPL1,0.485714286,0.355555556
413,PRR14,1,0.002777778
414,FGR,1,0.002777778
415,TGFB1I1,0.942857143,0.016666667
416,LCAT,0.942857143,0.016666667
417,SLC6A12,1,0.002777778
418,STXBP1,0.485714286,0.355555556
419,BEX5,0.485714286,0.355555556
420,UBE2V2,0.485714286,0.355555556
421,KCNC2,0.485714286,0.355555556
422,GDF11,1,0.002777778
423,KCNJ10,1,0.002777778
424,SUN2,1,0.002777778
425,CACNB2,0.485714286,0.355555556
426,ACAN,0.942857143,0.016666667
427,TBC1D2B,1,0.002777778
428,NIBAN2,1,0.002777778
429,PRKAR1B,0.485714286,0.355555556
430,SNORA11,0.942857143,0.016666667
431,FLT3LG,0.942857143,0.016666667
432,RN7SK,1,0.002777778
433,NRXN1,0.485714286,0.355555556
434,ISCU,0.485714286,0.355555556
435,ZNF322,1,0.002777778
436,ZNF786,1,0.002777778
437,LRRC14,1,0.002777778
438,WBP11,0.485714286,0.355555556
439,GUCD1,1,0.002777778
440,OLFM1,0.485714286,0.355555556
441,PRPS1,0.485714286,0.355555556
442,DENND5A,1,0.002777778
443,PTPRN,0.485714286,0.355555556
444,TAL1,0.942857143,0.016666667
445,KPNA1,0.485714286,0.355555556
446,CACNG3,0.485714286,0.355555556
447,MCL1,1,0.002777778
448,MAP4K5,1,0.002777778
449,TXLNA,1,0.002777778
450,SPAG9,1,0.002777778
451,TMC6,1,0.002777778
452,YJU2,1,0.002777778
453,VEZF1,1,0.002777778
454,CYP26A1,0.485714286,0.355555556
455,USP11,0.485714286,0.355555556
456,TRAK2,1,0.002777778
457,BEND7,0.942857143,0.016666667
458,TFPI,0.942857143,0.016666667
459,PTPRN2,0.485714286,0.355555556
460,TCL1B,0.942857143,0.016666667
461,ARHGEF11,0.485714286,0.355555556
462,CDIP1,0.942857143,0.016666667
463,ARSG,0.485714286,0.355555556
464,ARF3,0.485714286,0.355555556
465,CNPY4,1,0.002777778
466,NREP,0.485714286,0.355555556
467,GCK,0.942857143,0.016666667
468,COLGALT1,1,0.002777778
469,CADM4,1,0.002777778
470,CENPB,1,0.002777778
471,CCDC125,1,0.002777778
472,ZCCHC24,1,0.002777778
473,YWHAB,0.485714286,0.355555556
474,PGAM1,0.485714286,0.355555556
475,CCDC93,1,0.002777778
476,CHGB,0.485714286,0.355555556
477,POLA1,1,0.002777778
478,INTS9,1,0.002777778
479,U2AF2,1,0.002777778
480,ZBTB14,1,0.002777778
481,PSD4,0.942857143,0.016666667
482,ZNF598,1,0.002777778
483,CBLN4,0.485714286,0.355555556
484,PYROXD2,0.942857143,0.016666667
485,CCDC85C,1,0.002777778
486,CAPRIN1,0.485714286,0.355555556
487,NEK7,1,0.002777778
488,SLC6A9,0.942857143,0.016666667
489,SLC25A35,0.942857143,0.016666667
490,CSNK1G2,1,0.002777778
491,PPP2R2B,0.485714286,0.355555556
492,SLC12A2-DT,0.942857143,0.016666667
493,EIF2B4,1,0.002777778
494,PDHB,0.485714286,0.355555556
495,IL15,0.942857143,0.016666667
496,NDFIP1,0.485714286,0.355555556
497,FGF12,0.485714286,0.355555556
498,NSG2,0.485714286,0.355555556
499,INPPL1,1,0.002777778
500,FKBP1A,0.485714286,0.355555556
501,PDP1,0.485714286,0.355555556
502,UBE2W,0.485714286,0.355555556
503,SERPINB6,1,0.002777778
504,CGN,0.942857143,0.016666667
505,PFDN1,0.485714286,0.355555556
506,SYNGR1,0.485714286,0.355555556
507,ERLEC1,0.485714286,0.355555556
508,YWHAZ,0.485714286,0.355555556
509,LMNB2,1,0.002777778
510,PLOD1,1,0.002777778
511,PROM2,0.942857143,0.016666667
512,STMN2,0.485714286,0.355555556
513,DDAH2,0.942857143,0.016666667
514,SLC8A1,0.485714286,0.355555556
515,VAMP2,0.485714286,0.355555556
516,UBIAD1,0.942857143,0.016666667
517,PLEKHA7,0.942857143,0.016666667
518,ZXDB,0.485714286,0.355555556
519,CAMK1G,0.485714286,0.355555556
520,TUBA1B,0.485714286,0.355555556
521,MS4A14,0.942857143,0.016666667
522,TMEM14B,0.485714286,0.355555556
523,FAM107B,1,0.002777778
524,TRIP10,0.942857143,0.016666667
525,NAV2,1,0.002777778
526,TOMM20,0.485714286,0.355555556
527,RCC2,1,0.002777778
528,XPNPEP2,0.485714286,0.355555556
529,RAMP1,1,0.002777778
530,MYOT,1,0.002777778
531,NSRP1,1,0.002777778
532,MVB12A,1,0.002777778
533,SYNGR3,0.485714286,0.355555556
534,TBL2,0.485714286,0.355555556
535,MRGBP,1,0.002777778
536,RNF216,1,0.002777778
537,PSMG1,0.485714286,0.355555556
538,MXD4,1,0.002777778
539,MORC4,0.942857143,0.016666667
540,GSKIP,0.485714286,0.355555556
541,GSTM3,1,0.002777778
542,C2CD2,1,0.002777778
543,RALGDS,1,0.002777778
544,HPRT1,0.485714286,0.355555556
545,CHST12,1,0.002777778
546,MTIF2,1,0.002777778
547,TLNRD1,0.485714286,0.355555556
548,ARF5,0.485714286,0.355555556
549,STX12,0.485714286,0.355555556
550,ACTR10,0.485714286,0.355555556
551,WWC1,1,0.002777778
552,BBX,1,0.002777778
553,PAWR,0.942857143,0.016666667
554,RNF166,0.942857143,0.016666667
555,RBM14,1,0.002777778
556,MTG1,0.942857143,0.016666667
557,PLCD3,0.942857143,0.016666667
558,RINL,0.942857143,0.016666667
559,KIFBP,0.485714286,0.355555556
560,NMNAT2,0.485714286,0.355555556
561,DNAAF5,1,0.002777778
562,MAGED1,0.485714286,0.355555556
563,EMC3,0.485714286,0.355555556
564,PKN2,1,0.002777778
565,BTN3A1,0.942857143,0.016666667
566,TLN2,0.485714286,0.355555556
567,ATXN1L,1,0.002777778
568,RAX2,1,0.002777778
569,ERICH3,0.485714286,0.355555556
570,ANAPC13,0.485714286,0.355555556
571,KLF2,1,0.002777778
572,ATP6AP2,0.485714286,0.355555556
573,TNFRSF10D,0.942857143,0.016666667
574,YY1,1,0.002777778
575,MAPK10,0.485714286,0.355555556
576,OSBPL10,0.485714286,0.355555556
577,ABHD1,0.942857143,0.016666667
578,NEUROD6,0.485714286,0.355555556
579,TUBA1A,0.485714286,0.355555556
580,PARM1,0.485714286,0.355555556
581,LONP2,0.485714286,0.355555556
582,PPP4C,1,0.002777778
583,ENO3,0.942857143,0.016666667
584,IKZF4,0.942857143,0.016666667
585,CNOT9,0.485714286,0.355555556
586,DNAJA2,0.485714286,0.355555556
587,ARHGAP22,1,0.002777778
588,STS,0.485714286,0.355555556
589,PCDH8,0.485714286,0.355555556
590,GATAD2A,1,0.002777778
591,SGIP1,0.485714286,0.355555556
592,ACSS1,1,0.002777778
593,TUBB4B,0.485714286,0.355555556
594,SRPX2,0.942857143,0.016666667
595,RPL15,0.485714286,0.355555556
596,TRNAU1AP,0.942857143,0.016666667
597,SLC26A6,1,0.002777778
598,ITGB1,1,0.002777778
599,MAT2B,0.485714286,0.355555556
600,PPP2R2C,0.485714286,0.355555556
601,KIAA1755,0.942857143,0.016666667
602,ODAD3,1,0.002777778
603,ANTXR2,1,0.002777778
604,LY6G5C,0.942857143,0.016666667
605,DTYMK,0.942857143,0.016666667
606,SYTL4,1,0.002777778
607,HSCB,1,0.002777778
608,GATD1,1,0.002777778
609,ATP1A3,0.485714286,0.355555556
610,JPT1,0.485714286,0.355555556
611,GOLT1B,0.485714286,0.355555556
612,NCAPD2,1,0.002777778
613,STAT5A,1,0.002777778
614,GARRE1,1,0.002777778
615,CREG2,0.485714286,0.355555556
616,CRYGS,0.942857143,0.016666667
617,FOXD1,0.942857143,0.016666667
618,TRIM56,1,0.002777778
619,TMCC3,0.942857143,0.016666667
620,ELF1,1,0.002777778
621,GLTP,1,0.002777778
622,SPRYD7,0.485714286,0.355555556
623,SST,0.485714286,0.355555556
624,LILRA2,0.942857143,0.016666667
625,GNG13,0.485714286,0.355555556
626,GPT,0.942857143,0.016666667
627,MTMR11,1,0.002777778
628,APOO,0.485714286,0.355555556
629,NGRN,0.485714286,0.355555556
630,NACC2,1,0.002777778
631,ITGB5,1,0.002777778
632,ARHGEF10,1,0.002777778
633,NOMO2,0.485714286,0.355555556
634,GLRB,0.485714286,0.355555556
635,CDC42,0.485714286,0.355555556
636,DCLK1,0.485714286,0.355555556
637,ANLN,1,0.002777778
638,SNORA70B,0.942857143,0.016666667
639,RNF135,0.942857143,0.016666667
640,DDIT4L,1,0.002777778
641,ACTR6,0.485714286,0.355555556
642,PKIA,0.485714286,0.355555556
643,KCNB2,0.485714286,0.355555556
644,SMO,0.942857143,0.016666667
645,COX7A2L,0.485714286,0.355555556
646,LINC01205,1,0.002777778
647,METTL7B,0.942857143,0.016666667
648,ARL6IP1,0.485714286,0.355555556
649,FBXO16,0.485714286,0.355555556
650,RAB13,1,0.002777778
651,PI16,1,0.002777778
652,CASP2,1,0.002777778
653,LRRCC1,1,0.002777778
654,AK1,1,0.002777778
655,DDT,0.485714286,0.355555556
656,CFAP418,1,0.002777778
657,ASL,0.942857143,0.016666667
658,SLC25A29,1,0.002777778
659,CLDN15,1,0.002777778
660,DYNC1I1,0.485714286,0.355555556
661,INTS13,1,0.002777778
662,PDCD4,1,0.002777778
663,TM2D3,0.485714286,0.355555556
664,KLC2,0.485714286,0.355555556
665,GSPT2,0.485714286,0.355555556
666,UBXN2A,1,0.002777778
667,MPC2,0.485714286,0.355555556
668,SLC8B1,1,0.002777778
669,DCTPP1,0.485714286,0.355555556
670,ZNF25,0.485714286,0.355555556
671,ATP6V1B2,0.485714286,0.355555556
672,RHBDF1,1,0.002777778
673,CNGB1,1,0.002777778
674,HELZ2,1,0.002777778
