,symbol,correlation,pvalue
559,KIFBP,1,0.002777778
560,NMNAT2,1,0.002777778
561,DNAAF5,0.485714286,0.355555556
562,MAGED1,1,0.002777778
563,EMC3,1,0.002777778
564,PKN2,0.485714286,0.355555556
565,BTN3A1,0.257142857,0.658333333
566,TLN2,1,0.002777778
567,ATXN1L,0.485714286,0.355555556
568,RAX2,0.485714286,0.355555556
569,ERICH3,1,0.002777778
570,ANAPC13,1,0.002777778
571,KLF2,0.485714286,0.355555556
572,ATP6AP2,1,0.002777778
573,TNFRSF10D,0.257142857,0.658333333
574,YY1,0.485714286,0.355555556
575,MAPK10,1,0.002777778
576,OSBPL10,1,0.002777778
577,ABHD1,0.257142857,0.658333333
578,NEUROD6,1,0.002777778
579,TUBA1A,1,0.002777778
580,PARM1,1,0.002777778
581,LONP2,1,0.002777778
582,PPP4C,0.485714286,0.355555556
583,ENO3,0.257142857,0.658333333
584,IKZF4,0.257142857,0.658333333
585,CNOT9,1,0.002777778
586,DNAJA2,1,0.002777778
587,ARHGAP22,0.485714286,0.355555556
588,STS,1,0.002777778
589,PCDH8,1,0.002777778
590,GATAD2A,0.485714286,0.355555556
591,SGIP1,1,0.002777778
592,ACSS1,0.485714286,0.355555556
593,TUBB4B,1,0.002777778
594,SRPX2,0.257142857,0.658333333
595,RPL15,1,0.002777778
596,TRNAU1AP,0.257142857,0.658333333
597,SLC26A6,0.485714286,0.355555556
598,ITGB1,0.485714286,0.355555556
599,MAT2B,1,0.002777778
600,PPP2R2C,1,0.002777778
601,KIAA1755,0.257142857,0.658333333
602,ODAD3,0.485714286,0.355555556
603,ANTXR2,0.485714286,0.355555556
604,LY6G5C,0.257142857,0.658333333
605,DTYMK,0.257142857,0.658333333
606,SYTL4,0.485714286,0.355555556
607,HSCB,0.485714286,0.355555556
608,GATD1,0.485714286,0.355555556
609,ATP1A3,1,0.002777778
610,JPT1,1,0.002777778
611,GOLT1B,1,0.002777778
612,NCAPD2,0.485714286,0.355555556
613,STAT5A,0.485714286,0.355555556
614,GARRE1,0.485714286,0.355555556
615,CREG2,1,0.002777778
616,CRYGS,0.257142857,0.658333333
617,FOXD1,0.257142857,0.658333333
618,TRIM56,0.485714286,0.355555556
619,TMCC3,0.257142857,0.658333333
620,ELF1,0.485714286,0.355555556
621,GLTP,0.485714286,0.355555556
622,SPRYD7,1,0.002777778
623,SST,1,0.002777778
624,LILRA2,0.257142857,0.658333333
625,GNG13,1,0.002777778
626,GPT,0.257142857,0.658333333
627,MTMR11,0.485714286,0.355555556
628,APOO,1,0.002777778
629,NGRN,1,0.002777778
630,NACC2,0.485714286,0.355555556
631,ITGB5,0.485714286,0.355555556
632,ARHGEF10,0.485714286,0.355555556
633,NOMO2,1,0.002777778
634,GLRB,1,0.002777778
635,CDC42,1,0.002777778
636,DCLK1,1,0.002777778
637,ANLN,0.485714286,0.355555556
638,SNORA70B,0.257142857,0.658333333
639,RNF135,0.257142857,0.658333333
640,DDIT4L,0.485714286,0.355555556
641,ACTR6,1,0.002777778
642,PKIA,1,0.002777778
643,KCNB2,1,0.002777778
644,SMO,0.257142857,0.658333333
645,COX7A2L,1,0.002777778
646,LINC01205,0.485714286,0.355555556
647,METTL7B,0.257142857,0.658333333
648,ARL6IP1,1,0.002777778
649,FBXO16,1,0.002777778
650,RAB13,0.485714286,0.355555556
651,PI16,0.485714286,0.355555556
652,CASP2,0.485714286,0.355555556
653,LRRCC1,0.485714286,0.355555556
654,AK1,0.485714286,0.355555556
655,DDT,1,0.002777778
656,CFAP418,0.485714286,0.355555556
657,ASL,0.257142857,0.658333333
658,SLC25A29,0.485714286,0.355555556
659,CLDN15,0.485714286,0.355555556
660,DYNC1I1,1,0.002777778
661,INTS13,0.485714286,0.355555556
662,PDCD4,0.485714286,0.355555556
663,TM2D3,1,0.002777778
664,KLC2,1,0.002777778
665,GSPT2,1,0.002777778
666,UBXN2A,0.485714286,0.355555556
667,MPC2,1,0.002777778
668,SLC8B1,0.485714286,0.355555556
669,DCTPP1,1,0.002777778
670,ZNF25,1,0.002777778
671,ATP6V1B2,1,0.002777778
672,RHBDF1,0.485714286,0.355555556
673,CNGB1,0.485714286,0.355555556
674,HELZ2,0.485714286,0.355555556
675,PLAU,0.257142857,0.658333333
676,KANSL3,0.485714286,0.355555556
677,ASPRV1,0.257142857,0.658333333
678,WDR20,0.485714286,0.355555556
679,GAB3,0.257142857,0.658333333
680,GOLT1A,1,0.002777778
681,UNC13A,1,0.002777778
682,NHSL1-AS1,0.485714286,0.355555556
683,MFSD10,0.485714286,0.355555556
684,TNS3,0.485714286,0.355555556
685,HMGA1,1,0.002777778
686,TBL1X,0.485714286,0.355555556
687,C8orf58,0.257142857,0.658333333
688,CYP26B1,1,0.002777778
689,DENR,0.485714286,0.355555556
690,BOLA3,1,0.002777778
691,SLC6A16,0.257142857,0.658333333
692,GOT1,1,0.002777778
693,TM2D2,1,0.002777778
694,MAP2K3,0.485714286,0.355555556
695,ATXN10,1,0.002777778
696,BMERB1,1,0.002777778
697,ITPR3,0.485714286,0.355555556
698,TBR1,1,0.002777778
699,TPI1,1,0.002777778
700,PHF14,1,0.002777778
701,CDK19,0.485714286,0.355555556
702,FAM133CP,0.485714286,0.355555556
703,DDIT4,0.485714286,0.355555556
704,UNKL,0.485714286,0.355555556
705,GABRA1,1,0.002777778
706,NOMO1,1,0.002777778
707,PCF11,0.485714286,0.355555556
708,PP7080,0.485714286,0.355555556
709,OCIAD1,0.485714286,0.355555556
710,CCDC115,1,0.002777778
711,PARP10,0.485714286,0.355555556
712,PLAGL1,1,0.002777778
713,SYNC,0.485714286,0.355555556
714,DOCK6,0.257142857,0.658333333
715,DIAPH1,0.485714286,0.355555556
716,REPIN1,0.485714286,0.355555556
717,TFAP2A,0.257142857,0.658333333
718,PCSK5,0.485714286,0.355555556
719,FOXO4,0.485714286,0.355555556
720,ACSS2,0.485714286,0.355555556
721,CRTAP,0.485714286,0.355555556
722,DNAJB9,1,0.002777778
723,ANKRD50,1,0.002777778
724,ARHGAP20,1,0.002777778
725,PTGFRN,1,0.002777778
726,SLC12A9,0.485714286,0.355555556
727,DPP6,1,0.002777778
728,ZBTB42,0.257142857,0.658333333
729,NPFF,0.257142857,0.658333333
730,TTC31,0.485714286,0.355555556
731,FES,0.485714286,0.355555556
732,CHCHD6,1,0.002777778
733,VDAC1,1,0.002777778
734,ARHGEF6,0.485714286,0.355555556
735,ARMC12,0.257142857,0.658333333
736,ENDOG,1,0.002777778
737,CATSPER2,0.485714286,0.355555556
738,YTHDF2,1,0.002777778
739,GPI,1,0.002777778
740,NDUFB5,1,0.002777778
741,DYNLT2B,1,0.002777778
742,COX5A,1,0.002777778
